34/1;Kinship;298;-;19/05 PM;;If kin are not close, their wills\nGrate like teeth in an uneven bite.
34/2;Kinship;299;+;20/05 AM;;Trusting ties of flesh and blood,\nTo meet their goals they rely on kin.
34/3;Kinship;300;-;20/05 PM;;The mulberry fly abandons its young.\nThe wasp that takes them on\nDoes not meet with disgrace.
34/4;Kinship;301;+;21/05 AM;;Guests feel like kin in sharing rites\nWhen food and drink are properly measured.
34/5;Kinship;302;-;21/05 PM;;Slighting those who deserve his care,\nHis closest friends shall run away.
34/6;Kinship;303;+;22/05 AM;;Caring for those who deserve it,\nThe noble man grasps the Dipper.
34/7;Kinship;304;-;22/05 PM;;However high and lofty his rank,\nHe is base in conducting affairs.
34/8;Kinship;305;+;23/05 AM;;Dried meat shared with close kin:\nFlawlessly the noble man performs his duty\nTo act as trunk of the family tree.
34/9;Kinship;306;-;23/05 PM;;Immature yet close: ill-omened.
35/1;Gathering;307;+;24/05 AM;;Small taxes kept the same.\nHelp the common people feel secure\nAnd rectify the state.
35/2;Gathering;308;-;24/05 PM;;Greedy hoarding, bit by bit,\nSteeps us in impropriety.
35/3;Gathering;309;+;25/05 AM;;Seeing it is small, he eschews its use\nSo that we may fully develop.
35/4;Gathering;310;-;25/05 PM;E;Gathering profit & reducing punishment,\nSmall is the advance and great the retreat.
35/5;Gathering;311;+;26/05 AM;;Livestock propagate contentedly,\nSnowy white cocoons blanket the fields.
35/6;Gathering;312;-;26/05 PM;;Though small and weak at first,\nSomething big begins to grow.\nThe petty man fails to take heed.
35/7;Gathering;313;+;27/05 AM;;The husband pulls in the cart shafts.\nHis wife peels wild and bitter herbs.\nWhat benefits the king's paternal aunts\nDoes nothing for the common run of men.\nAn affliction.
35/8;Gathering;314;-;27/05 PM;;Heavy taxes bring down the state.
35/9;Gathering;315;+;28/05 AM;;Taxing in season\nHelps forestall utter ruin.
36/1;Strength;316;-;28/05 PM;;To be hardheaded is not right.\nIt makes him utterly useless.
36/2;Strength;317;+;29/05 AM;;The phoenix spreads its wings in flight.\nNoble men approach the proper time:\nNo one can ever hold them back.
36/3;Strength;318;-;29/05 PM;;If pillars are uncentered\nAnd beams not high,\nThe great mansion is laid low.
36/4;Strength;319;+;30/05 AM;;Keen of eye and ear, there and over there,\nHis attendants, left and right,\nOffer him staunch support.
36/5;Strength;320;-;30/05 PM;;Noble men, when strong, use virtue.\nPetty men, when strong, use force.
36/6;Strength;321;+;31/05 AM;;"Using my strength to ""overcome myself,""\nThe sky is the limit to what I can do."
36/7;Strength;322;-;31/05 PM;;Metal is strong but flesh is weak.\nBlood flows in the fields.
36/8;Strength;323;+;01/06 AM;;He strengthens where he fails,\nMaking an effort where he is weak. 
36/9;Strength;324;-;01/06 PM;;He uproots Mount T'ai,\nHe snaps pillars and beams.\nSuch men stumble and fall.
37/1;Purity;325;+;02/06 AM;;Pure within,\nHe is clear, without stain.
37/2;Purity;326;-;02/06 PM;;Tainted secretly, while feigning purity,\nHe is ashamed to the center of his self.
37/3;Purity;327;+;03/06 AM;;He lifts his eyes up to Heaven.\nHe lowers his ears to the depths.\nSuch is reverence.
37/4;Purity;328;-;03/06 PM;;The petty man envies the pure,\nAnd so looses rank and propriety.
37/5;Purity;329;+;04/06 AM;;"Pure to the hidden ""yellow"" core:\nSupremely stable, he knows no bounds."
37/6;Purity;330;-;04/06 PM;;Great purity gives way to error,\nAnd so there is change.
37/7;Purity;331;+;05/06 AM;;In his purity, he sees his faults in time.\nThe noble man moves to repair them.
37/8;Purity;332;-;05/06 PM;;Pure evil, without a trace of good.
37/9;Purity;333;+;06/06 AM;;Pure to the end and forever new,\nHe is propriety exemplified.
38/1;Fullness;334;-;06/06 PM;;He prospers, but not by the line.\nHe loses secret virtue.
38/2;Fullness;335;+;07/06 AM;;Acts that do not depend on reward\nCan lead to great riches.
38/3;Fullness;336;-;07/06 PM;;Love of profit fills the breast.\nIt does not profit the common good.
38/4;Fullness;337;+;08/06 AM;;With slight prosperity, subservience\nFunctions as a gateway for great men.
38/5;Fullness;338;-;08/06 PM;;Failing to bear good fortune lightly,\nHe picks up ill and is then ensnared.
