034/1;Kinship;298;-;19/05 PM;;If kin are not close, their wills\nGrate like teeth in an uneven bite.
034/2;Kinship;299;+;20/05 AM;;Trusting ties of flesh and blood,\nTo meet their goals they rely on kin.
034/3;Kinship;300;-;20/05 PM;;The mulberry fly abandons its young.\nThe wasp that takes them on\nDoes not meet with disgrace.
034/4;Kinship;301;+;21/05 AM;;Guests feel like kin in sharing rites\nWhen food and drink are properly measured.
034/5;Kinship;302;-;21/05 PM;;Slighting those who deserve his care,\nHis closest friends shall run away.
034/6;Kinship;303;+;22/05 AM;;Caring for those who deserve it,\nThe noble man grasps the Dipper.
034/7;Kinship;304;-;22/05 PM;;However high and lofty his rank,\nHe is base in conducting affairs.
034/8;Kinship;305;+;23/05 AM;;Dried meat shared with close kin:\nFlawlessly the noble man performs his duty\nTo act as trunk of the family tree.
034/9;Kinship;306;-;23/05 PM;;Immature yet close: ill-omened.
035/1;Gathering;307;+;24/05 AM;;Small taxes kept the same.\nHelp the common people feel secure\nAnd rectify the state.
035/2;Gathering;308;-;24/05 PM;;Greedy hoarding, bit by bit,\nSteeps us in impropriety.
035/3;Gathering;309;+;25/05 AM;;Seeing it is small, he eschews its use\nSo that we may fully develop.
035/4;Gathering;310;-;25/05 PM;E;Gathering profit & reducing punishment,\nSmall is the advance and great the retreat.
035/5;Gathering;311;+;26/05 AM;;Livestock propagate contentedly,\nSnowy white cocoons blanket the fields.
035/6;Gathering;312;-;26/05 PM;;Though small and weak at first,\nSomething big begins to grow.\nThe petty man fails to take heed.
035/7;Gathering;313;+;27/05 AM;;The husband pulls in the cart shafts.\nHis wife peels wild and bitter herbs.\nWhat benefits the king's paternal aunts\nDoes nothing for the common run of men.\nAn affliction.
035/8;Gathering;314;-;27/05 PM;;Heavy taxes bring down the state.
035/9;Gathering;315;+;28/05 AM;;Taxing in season\nHelps forestall utter ruin.
036/1;Strength;316;-;28/05 PM;;To be hardheaded is not right.\nIt makes him utterly useless.
036/2;Strength;317;+;29/05 AM;;The phoenix spreads its wings in flight.\nNoble men approach the proper time:\nNo one can ever hold them back.
036/3;Strength;318;-;29/05 PM;;If pillars are uncentered and beams not high,\nThe great mansion is laid low.
036/4;Strength;319;+;30/05 AM;;Keen of eye and ear, there and over there,\nHis attendants, left and right,\nOffer him staunch support.
036/5;Strength;320;-;30/05 PM;;Noble men, when strong, use virtue.\nPetty men, when strong, use force.
036/6;Strength;321;+;31/05 AM;;"Using my strength to ""overcome myself,""\nThe sky is the limit to what I can do."
036/7;Strength;322;-;31/05 PM;;Metal is strong but flesh is weak.\nBlood flows in the fields.
036/8;Strength;323;+;01/06 AM;;He strengthens where he fails,\nMaking an effort where he is weak. 
036/9;Strength;324;-;01/06 PM;;He uproots Mount T'ai,\nHe snaps pillars and beams.\nSuch men stumble and fall.
037/1;Purity;325;+;02/06 AM;;Pure within,\nHe is clear, without stain.
037/2;Purity;326;-;02/06 PM;;Tainted secretly, while feigning purity,\nHe is ashamed to the center of his self.
037/3;Purity;327;+;03/06 AM;;He lifts his eyes up to Heaven.\nHe lowers his ears to the depths.\nSuch is reverence.
037/4;Purity;328;-;03/06 PM;;The petty man envies the pure,\nAnd so looses rank and propriety.
037/5;Purity;329;+;04/06 AM;;"Pure to the hidden ""yellow"" core:\nSupremely stable, he knows no bounds."
037/6;Purity;330;-;04/06 PM;;Great purity gives way to error,\nAnd so there is change.
037/7;Purity;331;+;05/06 AM;;In his purity, he sees his faults in time.\nThe noble man moves to repair them.
037/8;Purity;332;-;05/06 PM;;Pure evil, without a trace of good.
037/9;Purity;333;+;06/06 AM;;Pure to the end and forever new,\nHe is propriety exemplified.
038/1;Fullness;334;-;06/06 PM;;He prospers, but not by the line.\nHe loses secret virtue.
038/2;Fullness;335;+;07/06 AM;;Acts that do not depend on reward\nCan lead to great riches.
038/3;Fullness;336;-;07/06 PM;;Love of profit fills the breast.\nIt does not profit the common good.
038/4;Fullness;337;+;08/06 AM;;With slight prosperity, subservience\nFunctions as a gateway for great men.
038/5;Fullness;338;-;08/06 PM;;Failing to bear good fortune lightly,\nHe picks up ill and is then ensnared.
038/6;Fullness;339;+;09/06 AM;;Granting him glory, Heaven\nOpens wide all borders to him.\nIn modesty there are rewards.
038/7;Fullness;340;-;09/06 PM;;As summer's fiery heat mounts up\nIt calls forth winter's icy springs.
038/8;Fullness;341;+;10/06 AM;;He damps down the full blaze\nAs collapse is about to begin.
038/9;Fullness;342;-;10/06 PM;;The greatest prosperity does not save.\nCalamity is sent down from Heaven.
039/1;Residence;343;+;11/06 AM;;Not giving or receiving praise or blame,\nHe thus preserves his house.
039/2;Residence;344;-;11/06 PM;;The household has no flasks.\nThe wife supplants her elders.\nShe errs, washing them in mud.
039/3;Residence;345;+;12/06 AM;;With young and old in proper order,\nThe son can sustain the father.
039/4;Residence;346;-;12/06 PM;;A pig appears in the audience hall,\nWith a puppy following its tracks.
039/5;Residence;347;+;12/06 AM;;Rudders and oars steady the ride.\nThey are good for riches and stability.
039/6;Residence;348;-;13/06 PM;E;He who sets his well and stove apart,\nIn 3 years, only sees his family's back.
039/7;Residence;349;+;14/06 AM;;The old man pulls a cart.\nThe young girl raises a jar.\nBoth benefit the ancestral house.
039/8;Residence;350;-;14/06 PM;;His stools upended, his ladies in pairs:\nHis household is no good.
039/9;Residence;351;+;15/06 AM;;If the stump produces new shoots,\nIts kind is not cut off.
